[1581062400] LOG ROTATION: DAILY
[1581062400] LOG VERSION: 2.0
[1581097382] SERVICE ALERT: vonly-backup;Current Load;WARNING;HARD;4;WARNING - load average: 4.05, 6.71, 6.33
[1581097980] Auto-save of retention data completed successfully.
[1581098282] SERVICE ALERT: vonly-backup;Current Load;OK;HARD;4;OK - load average: 3.83, 4.06, 4.85
[1581098882] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;1;WARNING - load average: 4.07, 5.58, 5.32
[1581098942] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 3.94, 5.29, 5.23
[1581098995] SERVICE NOTIFICATION: jatin;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 93% capacity! 3.2T of 3.6T
[1581098995] SERVICE NOTIFICATION: atul;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 93% capacity! 3.2T of 3.6T
[1581099002] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;3;WARNING - load average: 4.04, 5.05, 5.15
[1581099062] SERVICE ALERT: vonly-backup;Current Load;WARNING;HARD;4;WARNING - load average: 4.36, 4.96, 5.11
[1581099362] SERVICE ALERT: vonly-backup;Current Load;OK;HARD;4;OK - load average: 4.29, 4.56, 4.89
[1581099662] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;1;CRITICAL - load average: 10.60, 7.67, 5.98
[1581099722] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 6.59, 7.06, 5.88
[1581099782] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;3;WARNING - load average: 4.85, 6.48, 5.75
[1581099842] SERVICE ALERT: vonly-backup;Current Load;WARNING;HARD;4;WARNING - load average: 4.28, 6.02, 5.64
[1581101042] SERVICE ALERT: vonly-backup;Current Load;OK;HARD;4;OK - load average: 3.30, 3.79, 4.72
[1581101581] Auto-save of retention data completed successfully.
[1581101942] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;1;CRITICAL - load average: 11.27, 5.40, 4.47
[1581102002] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 9.15, 6.01, 4.74
[1581102062] SERVICE ALERT: vonly-backup;Current Load;OK;SOFT;3;OK - load average: 5.56, 5.58, 4.68
[1581102595] SERVICE NOTIFICATION: jatin;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 94% capacity! 3.2T of 3.6T
[1581102595] SERVICE NOTIFICATION: atul;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 94% capacity! 3.2T of 3.6T
[1581103202] SERVICE NOTIFICATION: jatin;vonly-replica;Current Load;OK;notify-service-by-email;OK - load average: 4.76, 4.65, 4.86
[1581103202] SERVICE NOTIFICATION: atul;vonly-replica;Current Load;OK;notify-service-by-email;OK - load average: 4.76, 4.65, 4.86
[1581103202] SERVICE ALERT: vonly-replica;Current Load;OK;HARD;4;OK - load average: 4.76, 4.65, 4.86
[1581105002] SERVICE ALERT: vonly-replica;Current Load;WARNING;SOFT;1;WARNING - load average: 5.03, 5.06, 5.01
[1581105062] SERVICE ALERT: vonly-replica;Current Load;WARNING;SOFT;2;WARNING - load average: 5.24, 5.11, 5.03
[1581105122] SERVICE ALERT: vonly-replica;Current Load;OK;SOFT;3;OK - load average: 4.93, 5.04, 5.00
[1581105181] Auto-save of retention data completed successfully.
[1581105182] SERVICE ALERT: vonly-replica;Current Load;WARNING;SOFT;1;WARNING - load average: 5.16, 5.10, 5.03
[1581105242] SERVICE ALERT: vonly-replica;Current Load;WARNING;SOFT;2;WARNING - load average: 5.41, 5.18, 5.06
[1581105302] SERVICE ALERT: vonly-replica;Current Load;WARNING;SOFT;3;WARNING - load average: 5.16, 5.16, 5.06
[1581105362] SERVICE NOTIFICATION: jatin;vonly-replica;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.23, 5.20, 5.08
[1581105362] SERVICE NOTIFICATION: atul;vonly-replica;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.23, 5.20, 5.08
[1581105362] SERVICE ALERT: vonly-replica;Current Load;WARNING;HARD;4;WARNING - load average: 5.23, 5.20, 5.08
[1581105722] SERVICE FLAPPING ALERT: vonly-backup;Current Load;STOPPED; Service appears to have stopped flapping (4.1% change < 5.0% threshold)
[1581105722] SERVICE NOTIFICATION: nagiosadmin;vonly-backup;Current Load;FLAPPINGSTOP (OK);notify-service-by-email;OK - load average: 2.16, 2.19, 2.34
[1581105962] SERVICE NOTIFICATION: jatin;vonly-replica;Current Load;OK;notify-service-by-email;OK - load average: 4.87, 4.94, 5.00
[1581105962] SERVICE NOTIFICATION: atul;vonly-replica;Current Load;OK;notify-service-by-email;OK - load average: 4.87, 4.94, 5.00
[1581105962] SERVICE ALERT: vonly-replica;Current Load;OK;HARD;4;OK - load average: 4.87, 4.94, 5.00
[1581106195] SERVICE NOTIFICATION: jatin;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 94% capacity! 3.2T of 3.6T
